ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,nhs_board,age_group
2001-01-01,0.6751022731048204,7.071316001697606,8.4223250878158,0.6751022731048204,0.6751022731048204,7.0750228727461,7.0750228727461,7.0750228727461,7.0750228727461,7.0750228727461,7.0750228727461,0.0,0.0,0.0,7.75012514585092,Ayrshire and Arran,0 up to 19
2002-01-01,0.3939390986921145,6.838804963520302,8.109613120116077,0.3939390986921145,0.3939390986921145,7.109138633533058,7.109138633533058,7.109138633533058,7.109138633533058,7.109138633533058,7.109138633533058,0.0,0.0,0.0,7.503077732225172,Ayrshire and Arran,0 up to 19
2003-01-01,0.11277592399132884,6.5698684669041265,7.945977149134504,0.11277592399132884,0.11277592399132884,7.148230997628572,7.148230997628572,7.148230997628572,7.148230997628572,7.148230997628572,7.148230997628572,0.0,0.0,0.0,7.2610069216199005,Ayrshire and Arran,0 up to 19
2004-01-01,-0.16838725076290134,6.372518720482211,7.692585121562038,-0.16838725076290134,-0.16838725076290134,7.19225022110893,7.19225022110893,7.19225022110893,7.19225022110893,7.19225022110893,7.19225022110893,0.0,0.0,0.0,7.023862970346029,Ayrshire and Arran,0 up to 19
2005-01-01,-0.4503207357067778,5.953234625421945,7.267918529317485,-0.4503207357067778,-0.4503207357067778,7.075022872746235,7.075022872746235,7.075022872746235,7.075022872746235,7.075022872746235,7.075022872746235,0.0,0.0,0.0,6.624702137039457,Ayrshire and Arran,0 up to 19
2006-01-01,-0.7314839109370314,5.683875923582641,7.025366870267338,-0.7314839109370314,-0.7314839109370314,7.109138633532897,7.109138633532897,7.109138633532897,7.109138633532897,7.109138633532897,7.109138633532897,0.0,0.0,0.0,6.3776547225958655,Ayrshire and Arran,0 up to 19
2007-01-01,-1.0126537867547412,5.449564721602751,6.8241933970001885,-1.0126537867547412,-1.0126537867547412,7.148230997628423,7.148230997628423,7.148230997628423,7.148230997628423,7.148230997628423,7.148230997628423,0.0,0.0,0.0,6.135577210873683,Ayrshire and Arran,0 up to 19
2008-01-01,-1.2939890407002894,5.232487592117608,6.570699864020101,-1.2939890407002894,-1.2939890407002894,7.19225022110921,7.19225022110921,7.19225022110921,7.19225022110921,7.19225022110921,7.19225022110921,0.0,0.0,0.0,5.8982611804089204,Ayrshire and Arran,0 up to 19
2009-01-01,-1.5760991962215074,4.8527313508297345,6.174814764386318,-1.5760991962215074,-1.5760991962215074,7.075022872746034,7.075022872746034,7.075022872746034,7.075022872746034,7.075022872746034,7.075022872746034,0.0,0.0,0.0,5.498923676524527,Ayrshire and Arran,0 up to 19
2010-01-01,-1.857496278792918,4.598527136244479,5.8895901490894085,-1.857496278792918,-1.857496278792918,7.109138633532979,7.109138633532979,7.109138633532979,7.109138633532979,7.109138633532979,7.109138633532979,0.0,0.0,0.0,5.251642354740061,Ayrshire and Arran,0 up to 19
2011-01-01,-2.13890355910468,4.3361238300916805,5.741919188722417,-2.13890355910468,-2.13890355910468,7.148230997628468,7.148230997628468,7.148230997628468,7.148230997628468,7.148230997628468,7.148230997628468,0.0,0.0,0.0,5.009327438523788,Ayrshire and Arran,0 up to 19
2012-01-01,-2.4203491773489048,4.117618526975562,5.427825269875217,-2.4203491773489048,-2.4203491773489048,7.192250221109177,7.192250221109177,7.192250221109177,7.192250221109177,7.192250221109177,7.192250221109177,0.0,0.0,0.0,4.771901043760272,Ayrshire and Arran,0 up to 19
2013-01-01,-2.7025751216260008,3.6792974467157227,5.024155244184219,-2.7025751216260008,-2.7025751216260008,7.075022872746207,7.075022872746207,7.075022872746207,7.075022872746207,7.075022872746207,7.075022872746207,0.0,0.0,0.0,4.372447751120205,Ayrshire and Arran,0 up to 19
2014-01-01,-2.984053234383296,3.439284804211926,4.786099359610741,-2.984053234383296,-2.984053234383296,7.109138633533207,7.109138633533207,7.109138633533207,7.109138633533207,7.109138633533207,7.109138633533207,0.0,0.0,0.0,4.125085399149911,Ayrshire and Arran,0 up to 19
2015-01-01,-3.2655313470976894,3.1961967322511513,4.582507849744541,-3.2655313470976894,-3.2655313470976894,7.148230997628303,7.148230997628303,7.148230997628303,7.148230997628303,7.148230997628303,7.148230997628303,0.0,0.0,0.0,3.882699650530614,Ayrshire and Arran,0 up to 19
2016-01-01,-3.547009460187141,2.973164636386898,4.293594525813702,-3.547009460187141,-3.547009460187141,7.192250221109167,7.192250221109167,7.192250221109167,7.192250221109167,7.192250221109167,7.192250221109167,0.0,0.0,0.0,3.645240760922026,Ayrshire and Arran,0 up to 19
2017-01-01,-3.8292587464622945,2.613600831900896,3.922486033853952,-3.8292587464622945,-3.8292587464622945,7.075022872746047,7.075022872746047,7.075022872746047,7.075022872746047,7.075022872746047,7.075022872746047,0.0,0.0,0.0,3.245764126283752,Ayrshire and Arran,0 up to 19
2018-01-01,-4.110736859824127,2.334075619092485,3.6503599331635597,-4.110736859824127,-4.110736859824127,7.10913863353295,7.10913863353295,7.10913863353295,7.10913863353295,7.10913863353295,7.10913863353295,0.0,0.0,0.0,2.9984017737088235,Ayrshire and Arran,0 up to 19
2019-01-01,-4.39221497318596,2.117242283215787,3.411516894629003,-4.39221497318596,-4.39221497318596,7.148230997628549,7.148230997628549,7.148230997628549,7.148230997628549,7.148230997628549,7.148230997628549,0.0,0.0,0.0,2.756016024442589,Ayrshire and Arran,0 up to 19
2020-01-01,-4.673693086547794,1.8110502974597584,3.1724817818393882,-4.673693086547794,-4.673693086547794,7.192250221109222,7.192250221109222,7.192250221109222,7.192250221109222,7.192250221109222,7.192250221109222,0.0,0.0,0.0,2.518557134561428,Ayrshire and Arran,0 up to 19
2020-12-31,-4.9551711999096275,1.5923880500891283,2.9628093793607175,-4.955187320474228,-4.955156998778288,7.241135076721726,7.241135076721726,7.241135076721726,7.241135076721726,7.241135076721726,7.241135076721726,0.0,0.0,0.0,2.2859638768120982,Ayrshire and Arran,0 up to 19
2021-12-31,-5.23664931327146,1.3476628301041675,2.7182143473538614,-5.236700025887546,-5.236601505757121,7.2948129483206845,7.2948129483206845,7.2948129483206845,7.2948129483206845,7.2948129483206845,7.2948129483206845,0.0,0.0,0.0,2.0581636350492243,Ayrshire and Arran,0 up to 19
2022-12-31,-5.518127426633294,1.1728397796836134,2.50771565358411,-5.518222078492048,-5.5180361713905635,7.3531999460527775,7.3531999460527775,7.3531999460527775,7.3531999460527775,7.3531999460527775,7.3531999460527775,0.0,0.0,0.0,1.8350725194194837,Ayrshire and Arran,0 up to 19
2023-12-31,-5.799605539995126,0.9549092734613909,2.2930396911643594,-5.799748054292771,-5.799464920548191,7.416201042078881,7.416201042078881,7.416201042078881,7.416201042078881,7.416201042078881,7.416201042078881,0.0,0.0,0.0,1.6165955020837552,Ayrshire and Arran,0 up to 19
